PM 01:40:50    9.0772 g 
PM 01:40:51    9.0772 g 
PM 01:40:51    9.0772 g 
PM 01:40:52    9.0772 g 
PM 01:40:52    9.0772 g 
PM 01:40:53    9.0772 g 
PM 01:40:54    9.0772 g 
PM 01:40:54    9.0772 g 
PM 01:40:55    9.0772 g 
PM 01:40:56    9.0772 g 
PM 01:40:56    9.0772 g 
PM 01:40:57    9.0772 g 
PM 01:40:58    9.0772 g 
PM 01:40:58    9.0771 g 
PM 01:40:59    9.0771 g 
PM 01:40:59    9.0771 g 
PM 01:41:00    9.0770 g 
PM 01:41:01    9.0770 g 
PM 01:41:01    9.0770 g 
PM 01:41:02    9.0770 g 
PM 01:41:03    9.0770 g 
PM 01:41:03    9.0770 g 
